NamesUnique (publd edtn)	CountNames
Jess Wanterman	1
Jesse Bond	1
Jesse Hersey	2
Jesse Kersey	11
Jesse Linch	2
Jesse Lippincott	2
Jesse Waters	1
Jh Dudley	1
Jn Haines	1
Jna Cox	1
Jnde Fatham	1
Jo Ro[berts	1
Job C[owperthwaite	1
Job Chambers	1
Job Clement	1
Job Cole	2
Job Coles	21
Job Collins	28
Job Cowp[erthwai]t	1
Job Cowperth	1
Job Cowperths	1
Job Cowperthwait	2
Job Cowperthwaite	18
Job Cowperthwaites	3
Job Cowpertwaite	1
Job Cowst	1
Job Dudley	1
Job Elkinton	1
Job Gaskills	1
Job Haines	14
Job Harvey	2
Job Kelle	1
Job Lippincott	6
Job Prickit	3
Job Ridgeway	2
Job Roberts	2
Job Scott	20
Job Smith	1
Job Stratan	1
Job Thomas	1
Job Tiler	1
Job Whiteal	3
Job Whiteals	1
Job Whiteat	1
Job Wines	1
Joel Evans	2
Joel Middleton	3
John Allen	3
John Allinson	1
John Allison	1
John Atkinson	1
John Balderston	2
John Baldin	4
John Balding	1
John Baldwin	2
John Ballinger	4
John Banks	1
John Barn	1
John Barton	6
John Bates	2
John Bilangee	1
John Biseel	1
John Bishop	2
John Bispham	1
John Bissel	2
John Bizzel	3
John Blackwood	1
John Blake	1
John Boldiston Evans	1
John Borton	6
John Braddock	1
John Branson	3
John Brick	2
John Brock	5
John Brown	1
John Bunting	1
John Burnyeat	3
John Burroughs	3
John C[ollins]	1
John Cagler	1
John Churchman	18
John Clements	3
John Cliffen	1
John Coglar	1
John Col	1
John Colins	1
John Collins	136
John Collis	1
John Coln	1
John Coltman]	1
John Comly	8
John Cooms	1
John Cowper	1
John Cowperthwaite	3
John Cowperthwaits	1
John Cox	88
John Cox Jr	1
John Coxe	1
John Crook	7
John Crosley	1
John De Marse Lak	1
John De Marsillac	1
